respondent_id,h1n1_vaccine,seasonal_vaccine,h1n1_concern,h1n1_knowledge,behavioral_avoidance,behavioral_large_gatherings,behavioral_outside_home,chronic_med_condition,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,sex,income_poverty,employment_status,census_msa
0,0,0,1,0,0,0,1,0,3,1,2,2,1,2,55 - 64 Years,< 12 Years,Female,Below Poverty,Not in Labor Force,Non-MSA
1,0,1,3,2,1,0,1,0,5,4,4,4,2,4,35 - 44 Years,12 Years,Male,Below Poverty,Employed,"MSA, Not Principle  City"
2,0,0,1,1,1,0,0,1,3,1,1,4,1,2,18 - 34 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
5,0,0,3,1,1,0,0,0,5,2,1,5,4,4,65+ Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
6,0,0,0,0,0,0,0,0,4,1,1,4,2,1,55 - 64 Years,< 12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
7,1,1,1,0,1,0,0,1,5,2,1,4,2,1,45 - 54 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
11,1,1,1,2,1,0,0,0,3,2,2,4,2,1,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,Non-MSA
13,0,0,1,1,1,0,0,1,3,1,4,4,2,4,35 - 44 Years,Some College,Male,"> $75,000",Employed,"MSA, Not Principle  City"
14,0,0,3,1,1,0,1,0,5,4,2,4,4,2,55 - 64 Years,12 Years,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
15,0,0,1,1,1,0,0,0,4,2,2,2,1,1,35 - 44 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
18,0,0,1,2,1,0,0,0,5,2,2,5,4,2,65+ Years,College Graduate,Male,"> $75,000",Employed,Non-MSA
19,0,0,2,2,0,0,1,0,4,2,1,5,2,1,55 - 64 Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
21,0,1,2,2,1,0,0,0,3,3,1,3,3,1,55 - 64 Years,Some College,Female,"> $75,000",Employed,"MSA, Not Principle  City"
22,0,0,1,1,1,0,0,0,4,2,2,4,1,2,45 - 54 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
25,0,0,1,2,1,0,0,0,3,2,2,2,4,2,45 - 54 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
26,1,1,3,1,0,0,0,1,3,2,4,5,5,4,45 - 54 Years,College Graduate,Female,,Employed,"MSA, Principle City"
28,0,0,0,1,0,0,0,0,1,1,1,2,1,1,55 - 64 Years,12 Years,Male,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
31,1,0,2,1,1,0,0,0,4,2,4,4,1,2,18 - 34 Years,Some College,Female,,Not in Labor Force,"MSA, Not Principle  City"
32,0,1,2,2,1,0,0,0,4,2,2,4,2,2,35 - 44 Years,Some College,Male,"<= $75,000, Above Poverty",Unemployed,"MSA, Principle City"
33,1,0,2,1,1,0,0,0,5,4,4,5,2,4,65+ Years,12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
34,1,1,1,1,1,0,0,0,5,1,2,4,2,1,18 - 34 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
36,0,1,2,2,1,0,0,1,4,2,1,4,2,1,45 - 54 Years,Some College,Female,"> $75,000",Employed,Non-MSA
37,0,0,1,1,0,0,0,0,4,1,1,4,1,1,45 - 54 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
38,1,1,1,1,1,0,0,1,3,1,2,3,2,2,65+ Years,College Graduate,Male,,Not in Labor Force,"MSA, Not Principle  City"
39,0,1,2,1,1,0,0,1,5,4,2,5,4,2,65+ Years,< 12 Years,Female,,Employed,"MSA, Not Principle  City"
40,0,0,0,2,0,0,0,0,4,4,1,5,2,1,45 - 54 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
41,1,1,2,1,1,0,1,0,4,4,4,4,4,2,55 - 64 Years,Some College,Female,"> $75,000",Employed,"MSA, Not Principle  City"
42,0,0,0,0,,0,0,0,3,1,4,3,1,5,55 - 64 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
44,0,0,,2,0,0,0,0,3,1,1,3,1,1,55 - 64 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
45,0,0,2,1,1,0,0,0,2,2,2,4,4,5,18 - 34 Years,Some College,Female,"> $75,000",Employed,"MSA, Not Principle  City"
46,1,1,1,2,0,0,0,0,5,2,1,5,1,1,55 - 64 Years,12 Years,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
47,1,0,0,2,0,0,0,0,5,1,2,5,1,2,18 - 34 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
50,0,0,2,2,1,0,0,0,4,2,1,4,2,1,45 - 54 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
51,0,1,0,1,1,0,0,0,4,1,1,5,4,1,55 - 64 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
53,0,1,1,2,0,0,0,0,3,2,2,4,2,2,55 - 64 Years,College Graduate,Male,"<= $75,000, Above Poverty",Unemployed,"MSA, Not Principle  City"
55,0,0,1,1,1,0,0,0,4,2,2,4,2,2,55 - 64 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
57,1,1,3,1,1,0,0,0,,2,4,4,4,1,55 - 64 Years,< 12 Years,Male,,Employed,"MSA, Principle City"
58,0,0,2,2,1,0,0,1,4,2,2,4,2,2,45 - 54 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
64,0,0,1,0,0,0,0,,3,3,2,3,,,45 - 54 Years,,Female,,,Non-MSA
65,0,0,1,1,0,0,0,0,3,1,1,3,1,1,55 - 64 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
66,0,0,2,1,0,0,0,0,4,2,2,4,2,4,18 - 34 Years,12 Years,Male,Below Poverty,Not in Labor Force,Non-MSA
67,1,1,2,2,0,0,0,0,4,2,2,4,4,2,35 - 44 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
68,0,1,1,1,0,0,0,0,3,2,2,4,4,4,65+ Years,,Female,,Not in Labor Force,Non-MSA
69,0,0,1,2,1,0,0,0,3,1,1,5,1,1,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
