,h1n1_vaccine,seasonal_vaccine,age_group,sex,h1n1_concern,h1n1_knowledge,behavioral_avoidance,behavioral_large_gatherings,behavioral_outside_home,chronic_med_condition,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,education,income_poverty,employment_status
0,0,0,3,1,1,0,0,0,1,0,3,1,2,2,1,2,0,0,2
1,0,1,1,0,3,2,1,0,1,0,5,4,4,4,2,4,1,0,1
2,0,0,0,0,1,1,1,0,0,1,3,1,1,4,1,2,3,1,1
3,0,1,4,1,1,1,1,1,0,1,3,3,5,5,4,1,1,0,2
4,0,0,2,1,2,1,1,1,0,0,3,3,2,3,1,4,2,1,1
5,0,0,4,0,3,1,1,0,0,0,5,2,1,5,4,4,1,1,1
6,0,0,3,0,0,0,0,0,0,0,4,1,1,4,2,1,0,1,1
7,1,1,2,1,1,0,1,0,0,1,5,2,1,4,2,1,2,1,1
8,0,0,2,0,0,2,1,1,1,0,4,1,1,4,2,1,3,2,1
9,0,0,3,0,2,1,1,1,0,1,4,2,2,4,2,2,1,1,2
10,1,1,2,0,2,1,1,1,0,1,4,1,2,5,4,4,1,1,1
11,1,1,3,0,1,2,1,0,0,0,3,2,2,4,2,1,3,2,1
12,0,1,4,0,1,1,1,1,0,0,3,2,1,5,4,1,3,1,2
13,0,0,1,0,1,1,1,0,0,1,3,1,4,4,2,4,2,2,1
14,0,0,3,0,3,1,1,0,1,0,5,4,2,4,4,2,1,1,2
15,0,0,1,1,1,1,1,0,0,0,4,2,2,2,1,1,3,2,1
16,1,1,4,1,2,1,1,1,1,1,3,2,1,4,4,1,1,1,2
17,0,0,1,1,1,1,0,1,0,0,2,2,4,4,2,1,2,1,1
18,0,0,4,0,1,2,1,0,0,0,5,2,2,5,4,2,3,2,1
19,0,0,3,1,2,2,0,0,1,0,4,2,1,5,2,1,2,1,2
20,0,0,3,1,3,1,1,1,1,0,4,2,2,4,2,2,3,1,2
21,0,1,3,1,2,2,1,0,0,0,3,3,1,3,3,1,2,2,1
22,0,0,2,1,1,1,1,0,0,0,4,2,2,4,1,2,3,2,1
23,0,0,0,1,3,0,0,1,1,0,5,5,4,4,4,4,0,0,2
24,0,0,2,1,1,2,1,0,0,0,3,2,2,2,4,2,2,1,1
25,0,0,4,1,3,2,1,1,1,0,4,2,2,2,2,2,2,1,2
26,0,0,3,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,2
27,0,0,1,1,3,2,1,1,1,0,2,1,2,4,2,1,3,1,1
